Test Accuracy Clean,Test Accuracy FGSM,Test Accuracy PGD Inf,Test Accuracy PGD 2,Test Accuracy CW,Test Accuracy SPSA
0.9921875,0.953125,0.875,0.9921875,0.0,0.9453125
1.0,0.9609375,0.859375,1.0,0.0,0.9609375
1.0,0.9296875,0.8828125,1.0,0.0,0.9296875
0.9921875,0.9296875,0.8671875,0.9921875,0.0078125,0.921875
0.9921875,0.953125,0.8671875,0.9921875,0.0078125,0.9296875
0.9921875,0.9921875,0.90625,0.9921875,0.0,0.96875
1.0,0.9375,0.84375,1.0,0.0,0.9453125
0.9921875,0.953125,0.8671875,0.984375,0.0078125,0.9453125
0.9921875,0.9453125,0.875,1.0,0.0078125,0.9375
1.0,0.9765625,0.8671875,1.0,0.0,0.9609375
0.9921875,0.96875,0.8359375,0.9921875,0.0,0.9453125
1.0,0.953125,0.84375,1.0,0.0,0.9296875
0.9765625,0.9375,0.8515625,0.984375,0.0078125,0.90625
1.0,0.9609375,0.890625,1.0,0.0,0.9453125
0.9921875,0.921875,0.8671875,0.984375,0.0,0.9140625
0.9921875,0.90625,0.859375,0.984375,0.0078125,0.90625
0.9921875,0.9296875,0.90625,0.9921875,0.0078125,0.9375
1.0,0.9609375,0.8515625,0.9921875,0.0,0.9296875
0.9921875,0.9140625,0.859375,0.9765625,0.0,0.90625
0.9921875,0.9609375,0.84375,1.0,0.0078125,0.9296875
0.9921875,0.9609375,0.8671875,0.9921875,0.0078125,0.9296875
0.9765625,0.953125,0.8671875,0.984375,0.0234375,0.9140625
1.0,0.921875,0.859375,1.0,0.0,0.9140625
0.9921875,0.984375,0.859375,0.984375,0.0078125,0.953125
0.9921875,0.9453125,0.859375,0.9921875,0.0,0.9453125
0.9921875,0.9453125,0.890625,0.9921875,0.0078125,0.9375
0.9921875,0.9375,0.84375,0.9921875,0.0078125,0.90625
0.9921875,0.9375,0.921875,0.984375,0.0078125,0.9296875
0.9765625,0.9453125,0.875,0.984375,0.015625,0.890625
0.9921875,0.9609375,0.8828125,0.9921875,0.0,0.9296875
0.9921875,0.953125,0.890625,0.9921875,0.0078125,0.9375
1.0,0.9765625,0.8984375,0.984375,0.0,0.953125
1.0,0.984375,0.890625,1.0,0.0,0.96875
0.9921875,0.9296875,0.8359375,0.9921875,0.0078125,0.921875
1.0,0.953125,0.90625,1.0,0.0,0.9453125
0.984375,0.984375,0.921875,0.984375,0.015625,0.9609375
0.984375,0.953125,0.9140625,0.9921875,0.015625,0.9296875
0.984375,0.9765625,0.921875,0.984375,0.015625,0.953125
0.9921875,0.9609375,0.875,0.984375,0.0078125,0.9453125
0.9921875,0.9765625,0.8984375,0.9921875,0.0078125,0.96875
0.984375,0.9609375,0.921875,0.984375,0.015625,0.9375
0.9921875,0.96875,0.875,1.0,0.0078125,0.9296875
1.0,0.9765625,0.8984375,1.0,0.0,0.9765625
0.9921875,0.96875,0.921875,0.9921875,0.0078125,0.9453125
0.9921875,0.953125,0.875,0.9921875,0.0078125,0.9375
0.984375,0.9375,0.8671875,0.9765625,0.015625,0.9140625
0.9765625,0.9296875,0.8984375,0.9921875,0.0234375,0.90625
1.0,0.921875,0.84375,1.0,0.0,0.8984375
0.984375,0.96875,0.8984375,0.9765625,0.0078125,0.9453125
0.9921875,0.9296875,0.8671875,0.9921875,0.0078125,0.90625
0.984375,0.9765625,0.890625,0.984375,0.0078125,0.96875
1.0,0.96875,0.859375,1.0,0.0,0.953125
1.0,0.9296875,0.8203125,1.0,0.0,0.921875
0.9921875,0.9140625,0.8671875,0.9921875,0.0,0.8984375
1.0,0.953125,0.90625,1.0,0.0,0.9453125
1.0,0.953125,0.859375,1.0,0.0,0.9609375
0.9765625,0.9453125,0.875,0.984375,0.0234375,0.90625
0.984375,0.953125,0.875,0.9921875,0.0078125,0.9375
0.9921875,0.96875,0.890625,0.9921875,0.0,0.953125
0.984375,0.96875,0.9296875,0.984375,0.015625,0.9453125
1.0,0.96875,0.890625,1.0,0.0,0.9453125
1.0,0.9453125,0.8828125,1.0,0.0,0.9453125
0.96875,0.9375,0.8359375,0.96875,0.03125,0.890625
0.9921875,0.9453125,0.8671875,0.9921875,0.0078125,0.921875
0.984375,0.9765625,0.890625,0.9765625,0.015625,0.953125
1.0,0.96875,0.921875,1.0,0.0,0.9765625
0.9921875,0.9609375,0.9296875,0.9921875,0.0078125,0.9453125
0.9921875,0.9453125,0.859375,0.96875,0.0078125,0.9140625
1.0,0.96875,0.8984375,1.0,0.0,0.953125
0.984375,0.96875,0.875,0.9921875,0.015625,0.953125
0.984375,0.9375,0.8671875,0.984375,0.015625,0.90625
1.0,0.9296875,0.8359375,1.0,0.0,0.9140625
1.0,0.9453125,0.921875,1.0,0.0,0.9453125
0.9765625,0.9453125,0.890625,0.96875,0.015625,0.921875
0.9921875,0.9140625,0.875,0.9921875,0.0078125,0.9140625
0.9921875,0.9453125,0.7890625,1.0,0.0078125,0.8828125
0.984375,0.9453125,0.8671875,0.9921875,0.015625,0.921875
1.0,0.9375,0.828125,1.0,0.0,0.9296875
1.0,1.0,0.9375,1.0,0.0,1.0
