pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type,num_filter
0.10676687955856323,0.967199981212616,2.554785966873169,0.30720001459121704,0.3175144747725393,trop,1
0.09725175052881241,0.9696999788284302,8.283498764038086,0.09229999780654907,0.09209033721769619,relu,1
0.10260328650474548,0.9674000144004822,3.074685573577881,0.2443999946117401,0.25253256150506515,trop,2
0.06267107278108597,0.9815999865531921,4.846090316772461,0.07840000092983246,0.07986960065199673,relu,2
0.11204666644334793,0.9660000205039978,3.338663339614868,0.24279999732971191,0.2513457556935818,trop,3
0.07465314865112305,0.9767000079154968,4.746399402618408,0.13989999890327454,0.14313504658544077,relu,3
0.11158222705125809,0.9659000039100647,3.4445695877075195,0.21299999952316284,0.22051972253856506,trop,4
0.06316637247800827,0.9794999957084656,5.667146682739258,0.1454000025987625,0.14834099030117406,relu,4
0.1264021247625351,0.9627000093460083,4.0198588371276855,0.1826999932527542,0.18977874727329386,trop,5
0.06033619865775108,0.9812999963760376,4.965456962585449,0.22920000553131104,0.2335677162947111,relu,5
0.12299981713294983,0.9650999903678894,3.0153748989105225,0.22470000386238098,0.23282561392601803,trop,6
0.06959505379199982,0.98089998960495,6.525372505187988,0.039500001817941666,0.040167193393822,relu,6
0.13472755253314972,0.9613999724388123,3.9780101776123047,0.093299999833107,0.09704597462034532,trop,7
0.06531143933534622,0.9801999926567078,3.3068301677703857,0.2249000072479248,0.22944297082228116,relu,7
0.14545001089572906,0.9557999968528748,3.212855339050293,0.19429999589920044,0.20328520611006487,trop,8
0.0662929117679596,0.9822999835014343,3.471402645111084,0.2151000052690506,0.21897587295123688,relu,8
0.11616078019142151,0.9670000076293945,3.7599077224731445,0.24220000207424164,0.2504653567735264,trop,9
0.06909255683422089,0.9815000295639038,4.714844703674316,0.15070000290870667,0.1534386143657667,relu,9
0.0965108796954155,0.9718000292778015,3.7909858226776123,0.21559999883174896,0.22185634904301296,trop,10
0.06840841472148895,0.9825000166893005,4.109643459320068,0.17679999768733978,0.17994910941475828,relu,10
0.1284404695034027,0.9661999940872192,4.18605899810791,0.2061000019311905,0.21330987373214655,trop,11
0.06616873294115067,0.9819999933242798,6.328404426574707,0.12430000305175781,0.12637474541751528,relu,11
0.10826081782579422,0.968999981880188,4.176428318023682,0.20010000467300415,0.2065015479876161,trop,12
0.056938230991363525,0.9839000105857849,4.9520392417907715,0.11550000309944153,0.11738997865636752,relu,12
0.12171421200037003,0.9624000191688538,3.9706101417541504,0.1339000016450882,0.1391313383208645,trop,13
0.06636708229780197,0.9797000288963318,4.785521507263184,0.12290000170469284,0.12544656527508422,relu,13
0.1252090334892273,0.9639000296592712,4.736698150634766,0.1517000049352646,0.1573814711069613,trop,14
0.06315760314464569,0.9815000295639038,5.019473075866699,0.12520000338554382,0.12755985736118186,relu,14
0.14407415688037872,0.9563000202178955,3.659674882888794,0.18050000071525574,0.18874830074244484,trop,15
0.049401864409446716,0.9866999983787537,5.091979503631592,0.14900000393390656,0.1509070639505422,relu,15
0.13200651109218597,0.9588000178337097,3.4024770259857178,0.2590999901294708,0.27012932832707554,trop,16
0.057351600378751755,0.9832000136375427,4.820791721343994,0.12409999966621399,0.12622050447518307,relu,16
0.11949874460697174,0.9660000205039978,3.491089105606079,0.2214999943971634,0.229296066252588,trop,17
0.059951696544885635,0.982699990272522,3.921069622039795,0.16850000619888306,0.1714663681693294,relu,17
0.14594562351703644,0.9592000246047974,4.303592681884766,0.20110000669956207,0.20965387823185988,trop,18
0.06582570821046829,0.9796000123023987,4.9329118728637695,0.125,0.12760310330747243,relu,18
0.12672178447246552,0.9653000235557556,3.5850672721862793,0.23240000009536743,0.24075416968817984,trop,19
0.06673522293567657,0.983299970626831,4.594087600708008,0.12549999356269836,0.12763144513373334,relu,19
0.14544928073883057,0.9589999914169312,3.537999153137207,0.22769999504089355,0.2373305526590198,trop,20
0.06686846911907196,0.9825000166893005,4.256070613861084,0.19050000607967377,0.19389312977099238,relu,20
0.12310919165611267,0.9629999995231628,4.122165679931641,0.12680000066757202,0.1316718587746625,trop,21
0.06761839240789413,0.980400025844574,5.407286643981934,0.1363999992609024,0.1391268869849041,relu,21
0.1348889172077179,0.9598000049591064,3.5852715969085693,0.19830000400543213,0.20650135444884352,trop,22
0.06583932042121887,0.9822999835014343,5.885149002075195,0.12489999830722809,0.127150565000509,relu,22
0.14283140003681183,0.9577000141143799,3.6810288429260254,0.18700000643730164,0.1952594758275034,trop,23
0.056088775396347046,0.9837999939918518,5.274023532867432,0.09470000118017197,0.09625940231754422,relu,23
0.136514812707901,0.9609000086784363,3.110413074493408,0.24799999594688416,0.2580913726714538,trop,24
0.08003545552492142,0.9803000092506409,4.550749778747559,0.13570000231266022,0.13832500255023972,relu,24
0.15638181567192078,0.9538000226020813,3.9583652019500732,0.18369999527931213,0.19259802893688405,trop,25
0.0561276376247406,0.9833999872207642,4.597570419311523,0.13369999825954437,0.13595688427903194,relu,25
0.14167796075344086,0.9584000110626221,3.7968451976776123,0.18709999322891235,0.1951168614357262,trop,26
