pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type,window_size,num_filters
1.3737342357635498,0.5741779208183289,5.294942378997803,0.056545790284872055,0.07928012310162574,trop,"(5, 5)",1
1.317211389541626,0.5797479748725891,10.22423267364502,0.02823447994887829,0.04227405247813411,relu,"(5, 5)",1
0.8032991290092468,0.7548401951789856,8.063095092773438,0.04755685478448868,0.05608142493638677,trop,"(5, 5)",2
0.5294329524040222,0.8472265005111694,13.328384399414062,0.03952827304601669,0.042802085694853775,relu,"(5, 5)",2
0.5987711548805237,0.8227182030677795,11.118653297424316,0.0430239699780941,0.047298874725685204,trop,"(5, 5)",4
0.48361098766326904,0.8590964674949646,11.952709197998047,0.04509834200143814,0.047934179932033624,relu,"(5, 5)",4
0.5839390754699707,0.8263675570487976,10.658852577209473,0.03868315741419792,0.04323168464113053,trop,"(5, 5)",8
0.4504096806049347,0.8721189498901367,12.776018142700195,0.042639829218387604,0.04594106505748139,relu,"(5, 5)",8
0.5698677897453308,0.8284803032875061,11.452744483947754,0.038567915558815,0.04275049844670098,trop,"(5, 5)",16
0.46470338106155396,0.8635141253471375,11.747685432434082,0.04532882571220398,0.04884558921660216,relu,"(5, 5)",16
0.5528548955917358,0.8352028131484985,12.021687507629395,0.04014290124177933,0.04484408058136326,trop,"(5, 5)",24
1.840587854385376,0.363437294960022,8.42850112915039,0.049055010080337524,0.09882676249867879,trop,"(1, 1)",1
1.1371817588806152,0.64559006690979,4.123013019561768,0.08093884587287903,0.10918719504938712,relu,"(1, 1)",1
1.9321855306625366,0.31641826033592224,6.515158653259277,0.040296558290719986,0.08328274857350977,trop,"(1, 1)",2
1.433530569076538,0.5239320993423462,4.3717193603515625,0.058696988970041275,0.09091575628711783,relu,"(1, 1)",2
